date,close
2021-07-30,140.25
2021-08-02,143.8
2021-08-03,139.86
2021-08-04,141.5
2021-08-05,146.0
2021-08-06,134.38
2021-08-09,138.25
2021-08-10,140.0
2021-08-11,135.96
2021-08-12,133.8
2021-08-13,136.63
2021-08-16,135.0
2021-08-17,133.48
2021-08-18,131.5
2021-08-19,126.16
2021-08-20,126.03
2021-08-23,124.01
2021-08-24,127.16
2021-08-25,127.33
2021-08-26,120.0
2021-08-27,120.1
2021-08-30,128.7
2021-08-31,129.56
2021-09-01,137.48
2021-09-02,152.09
2021-09-03,163.06
2021-09-07,163.38
2021-09-08,158.11
2021-09-09,169.75
2021-09-10,173.37
2021-09-13,158.71
2021-09-14,160.09
2021-09-15,160.29
2021-09-16,185.0
2021-09-17,184.98
2021-09-20,181.7
2021-09-21,200.21
2021-09-22,201.86
2021-09-23,202.69
2021-09-24,199.37
2021-09-27,189.38
2021-09-28,171.73
2021-09-29,168.89
2021-09-30,166.36
2021-10-01,160.58
2021-10-04,150.87
2021-10-05,144.85
2021-10-06,141.45
2021-10-07,156.86
2021-10-08,166.52
2021-10-11,165.0
2021-10-12,170.74
2021-10-13,180.0
2021-10-14,168.59
2021-10-15,156.7
2021-10-18,157.34
2021-10-19,165.69
2021-10-20,157.91
2021-10-21,178.14
2021-10-22,178.26
2021-10-25,187.48
2021-10-26,188.05
2021-10-27,175.29
2021-10-28,172.83
2021-10-29,173.69
2021-11-01,175.04
2021-11-02,166.24
2021-11-03,169.12
2021-11-04,158.59
2021-11-05,153.73
2021-11-08,155.35
2021-11-09,146.73
2021-11-10,148.06
2021-11-11,151.51
2021-11-12,155.02
2021-11-15,140.48
2021-11-16,138.93
2021-11-17,141.28
2021-11-18,135.04
2021-11-19,135.96
2021-11-22,133.17
2021-11-23,135.82
2021-11-24,119.81
2021-11-26,122.58
2021-11-29,119.37
2021-11-30,110.19
2021-12-01,104.19
2021-12-02,109.71
2021-12-03,109.06
2021-12-06,101.57
2021-12-07,109.97
2021-12-08,108.58
2021-12-09,99.46
2021-12-10,95.69
2021-12-13,97.08
2021-12-14,100.57
2021-12-15,101.7
2021-12-16,102.92
2021-12-17,104.54
2021-12-20,103.0
2021-12-21,106.2
2021-12-22,105.03
2021-12-23,108.96
2021-12-27,110.25
2021-12-28,108.11
2021-12-29,102.38
2021-12-30,110.58
2021-12-31,106.11
2022-01-03,105.07
2022-01-04,105.86
2022-01-05,97.49
2022-01-06,100.97
2022-01-07,102.19
2022-01-10,102.24
2022-01-11,104.31
2022-01-12,103.02
2022-01-13,91.83
2022-01-14,92.63
2022-01-18,86.3
2022-01-19,87.7
2022-01-20,89.93
2022-01-21,85.71
2022-01-24,89.0
2022-01-25,89.51
2022-01-26,91.87
2022-01-27,86.88
2022-01-28,91.83
2022-01-31,100.01
2022-02-01,99.85
2022-02-02,93.82
2022-02-03,84.53
2022-02-04,91.48
2022-02-07,94.24
2022-02-08,98.28
2022-02-09,101.54
2022-02-10,96.41
2022-02-11,94.0
2022-02-14,95.16
2022-02-15,101.67
2022-02-16,93.63
2022-02-17,93.0
2022-02-18,91.0
2022-02-22,85.19
2022-02-23,84.25
2022-02-24,85.76
2022-02-25,87.96
2022-02-28,86.29
2022-03-01,83.33
2022-03-02,76.97
2022-03-03,71.38
2022-03-04,74.68
2022-03-07,79.03
2022-03-08,79.99
2022-03-09,80.09
2022-03-10,80.5
2022-03-11,76.7
2022-03-14,66.99
2022-03-15,68.11
2022-03-16,78.59
2022-03-17,81.29
2022-03-18,88.68
2022-03-21,89.63
2022-03-22,94.52
2022-03-23,96.41
2022-03-24,100.39
2022-03-25,93.05
2022-03-28,93.06
2022-03-29,96.84
2022-03-30,91.65
2022-03-31,95.11
2022-04-01,95.65
2022-04-04,102.79
2022-04-05,95.99
2022-04-06,95.1
2022-04-07,96.36
2022-04-08,94.56
2022-04-11,93.3
2022-04-12,92.47
2022-04-13,93.18
2022-04-14,89.82
2022-04-18,90.2
2022-04-19,90.09
2022-04-20,89.37
2022-04-21,85.91
2022-04-22,86.0
2022-04-25,90.19
2022-04-26,86.26
2022-04-27,87.96
2022-04-28,92.33
2022-04-29,86.47
2022-05-02,91.22
2022-05-03,86.52
2022-05-04,92.62
2022-05-05,86.65
2022-05-06,80.61
2022-05-09,72.68
2022-05-10,69.52
2022-05-11,63.0
2022-05-12,66.98
2022-05-13,89.77
2022-05-16,85.1
2022-05-17,81.27
2022-05-18,79.37
2022-05-19,79.92
2022-05-20,76.46
2022-05-23,77.51
2022-05-24,75.06
2022-05-25,78.88
2022-05-26,84.31
2022-05-27,83.78
2022-05-31,83.61
2022-06-01,83.52
2022-06-02,88.1
2022-06-03,89.34
2022-06-06,96.65
2022-06-07,97.44
2022-06-08,99.18
2022-06-09,96.15
2022-06-10,93.37
2022-06-13,84.23
2022-06-14,87.35
2022-06-15,92.23
2022-06-16,92.61
2022-06-17,94.71
2022-06-21,98.89
2022-06-22,97.07
2022-06-23,99.82
2022-06-24,101.73
2022-06-27,96.63
2022-06-28,91.47
2022-06-29,89.8
2022-06-30,87.55
2022-07-01,95.06
2022-07-05,99.25
2022-07-06,96.95
2022-07-07,106.29
2022-07-08,110.09
2022-07-11,94.3
2022-07-12,95.86
2022-07-13,94.6
