date,close
2021-09-24,46.75
2021-09-27,44.05
2021-09-28,42.73
2021-09-29,42.27
2021-09-30,42.69
2021-10-01,41.89
2021-10-04,40.88
2021-10-05,40.21
2021-10-06,39.26
2021-10-07,41.29
2021-10-08,42.58
2021-10-11,42.15
2021-10-12,42.26
2021-10-13,41.27
2021-10-14,41.68
2021-10-15,41.45
2021-10-18,40.75
2021-10-19,42.93
2021-10-20,45.17
2021-10-21,45.05
2021-10-22,46.92
2021-10-25,46.66
2021-10-26,43.65
2021-10-27,44.48
2021-10-28,46.38
2021-10-29,50.25
2021-11-01,48.2
2021-11-02,50.07
2021-11-03,43.06
2021-11-04,39.59
2021-11-05,38.29
2021-11-08,40.72
2021-11-09,39.01
2021-11-10,37.95
2021-11-11,38.41
2021-11-12,37.72
2021-11-15,34.7
2021-11-16,38.97
2021-11-17,38.73
2021-11-18,38.66
2021-11-19,38.31
2021-11-22,36.0
