date,close
2025-01-06,39.61
2025-01-07,38.92
2025-01-08,38.94
2025-01-10,37.81
2025-01-13,38.12
2025-01-14,38.28
2025-01-15,38.18
2025-01-16,38.34
2025-01-17,38.78
2025-01-21,39.02
2025-01-22,38.95
2025-01-23,39.18
2025-01-24,39.54
2025-01-27,40.64
2025-01-28,40.4
2025-01-29,40.28
2025-01-30,39.47
2025-01-31,39.39
2025-02-03,39.98
2025-02-04,39.81
2025-02-05,40.13
2025-02-06,39.94
2025-02-07,39.88
2025-02-10,39.95
2025-02-11,40.49
2025-02-12,40.53
2025-02-13,41.04
2025-02-14,40.99
2025-02-18,41.2
2025-02-19,42.01
2025-02-20,42.49
2025-02-21,42.76
2025-02-24,43.32
2025-02-25,43.71
2025-02-26,43.18
2025-02-27,43.27
2025-02-28,43.1
2025-03-03,43.87
2025-03-04,42.87
2025-03-05,42.84
2025-03-06,44.23
2025-03-07,46.06
2025-03-10,46.49
2025-03-11,43.43
2025-03-12,42.59
2025-03-13,43.71
2025-03-14,43.57
2025-03-17,43.65
2025-03-18,44.23
2025-03-19,43.94
2025-03-20,43.75
2025-03-21,43.99
2025-03-24,43.56
2025-03-25,43.49
2025-03-26,44.18
2025-03-27,44.96
2025-03-28,44.93
2025-03-31,45.36
2025-04-01,45.38
2025-04-02,44.74
2025-04-03,45.62
2025-04-04,43.03
2025-04-07,42.58
2025-04-08,42.17
2025-04-09,42.89
2025-04-10,42.92
2025-04-11,43.73
2025-04-14,44.3
2025-04-15,44.48
2025-04-16,43.61
2025-04-17,44.04
2025-04-21,42.93
2025-04-22,43.19
2025-04-23,42.7
2025-04-24,42.81
2025-04-25,41.91
2025-04-28,42.39
2025-04-29,42.95
2025-04-30,44.06
2025-05-01,43.3
2025-05-02,43.74
2025-05-05,43.54
2025-05-06,44.15
2025-05-07,43.89
2025-05-08,43.61
2025-05-09,43.61
2025-05-12,43.0
2025-05-13,42.65
2025-05-14,42.35
2025-05-15,43.48
2025-05-16,43.99
2025-05-19,44.31
2025-05-20,44.22
2025-05-21,43.75
2025-05-22,43.13
2025-05-23,43.32
2025-05-27,43.5
2025-05-28,43.13
2025-05-29,43.33
2025-05-30,43.96
2025-06-02,44.1
2025-06-03,43.83
2025-06-04,43.24
2025-06-05,43.3
2025-06-06,43.8
2025-06-09,43.65
2025-06-10,44.13
2025-06-11,43.74
2025-06-12,43.16
2025-06-13,43.01
2025-06-16,42.5
2025-06-17,41.85
2025-06-18,41.67
2025-06-20,41.7
2025-06-23,42.36
2025-06-24,42.63
2025-06-25,42.12
2025-06-26,42.1
2025-06-27,42.31
2025-06-30,43.27
2025-07-01,43.68
2025-07-02,43.59
2025-07-03,43.55
2025-07-07,42.8
2025-07-08,43.06
2025-07-09,42.61
2025-07-10,42.03
2025-07-11,41.62
2025-07-14,41.58
2025-07-15,41.26
2025-07-16,41.25
2025-07-17,40.95
2025-07-18,40.84
2025-07-21,42.49
2025-07-22,42.96
2025-07-23,42.84
2025-07-24,43.08
2025-07-25,43.08
2025-07-28,42.36
2025-07-29,42.71
2025-07-30,42.6
2025-07-31,42.76
2025-08-01,42.88
2025-08-04,42.95
2025-08-05,42.67
2025-08-06,42.35
2025-08-07,42.95
2025-08-08,43.15
2025-08-11,43.18
2025-08-12,43.25
2025-08-13,43.71
2025-08-14,43.5
2025-08-15,44.24
2025-08-18,44.39
2025-08-19,44.94
2025-08-20,45.06
2025-08-21,45.03
2025-08-22,44.44
2025-08-25,44.23
2025-08-26,43.96
2025-08-27,44.27
2025-08-28,43.93
2025-08-29,44.23
2025-09-02,43.8
2025-09-03,43.74
2025-09-04,44.18
2025-09-05,44.38
2025-09-08,43.32
2025-09-09,43.57
2025-09-10,43.49
2025-09-11,44.14
2025-09-12,43.97
2025-09-15,43.87
2025-09-16,43.74
2025-09-17,44.21
2025-09-18,43.67
2025-09-19,43.48
2025-09-22,43.16
2025-09-23,43.35
2025-09-24,43.18
2025-09-25,43.35
2025-09-26,43.61
2025-09-29,43.25
2025-09-30,43.95
2025-10-01,43.83
2025-10-02,43.4
2025-10-03,43.67
2025-10-06,41.44
2025-10-07,41.4
2025-10-08,41.32
2025-10-09,40.83
2025-10-10,39.85
2025-10-13,39.75
2025-10-14,40.55
2025-10-15,40.38
2025-10-16,40.36
2025-10-17,40.55
2025-10-20,40.8
2025-10-21,40.3
2025-10-22,39.8
2025-10-23,38.4
2025-10-24,38.82
2025-10-27,39.23
2025-10-28,39.32
2025-10-29,40.21
2025-10-30,38.96
2025-10-31,39.74
2025-11-03,39.47
2025-11-04,39.32
2025-11-05,39.69
2025-11-06,39.82
2025-11-07,40.03
2025-11-10,39.85
2025-11-11,40.7
2025-11-12,40.8
2025-11-13,41.11
2025-11-14,41.06
2025-11-17,41.01
2025-11-18,41.48
2025-11-19,41.19
2025-11-20,40.76
2025-11-21,41.23
2025-11-24,40.21
2025-11-25,40.59
2025-11-26,40.88
2025-11-28,41.11
2025-12-01,40.74
2025-12-02,40.61
2025-12-03,40.67
2025-12-04,41.26
2025-12-05,41.69
2025-12-08,41.3
2025-12-09,40.14
2025-12-10,39.92
2025-12-11,40.22
2025-12-12,40.89
2025-12-15,40.8
2025-12-16,40.75
2025-12-17,40.88
2025-12-18,40.41
2025-12-19,39.82
2025-12-22,39.98
2025-12-23,39.92
2025-12-24,40.32
2025-12-26,40.48
2025-12-29,40.48
2025-12-30,40.7
2025-12-31,40.73
2026-01-02,40.52
2026-01-05,40.23
2026-01-06,40.3
2026-01-07,40.13
2026-01-08,40.57
2026-01-09,40.46
2026-01-12,39.84
2026-01-13,39.01
2026-01-14,39.83
2026-01-15,39.36
2026-01-16,38.91
2026-01-20,39.08
2026-01-21,39.24
2026-01-22,39.48
2026-01-23,39.52
2026-01-26,39.62
2026-01-27,39.32
